{'x': 6, 'y': 6, 'z': 4, 'id': 'point_0', 'index': '0', 'break': '75%'},
{'x': 1, 'y': 4, 'z': 3, 'id': 'point_1', 'index': '1', 'break': '75%'},
{'x': 4, 'y': 5, 'z': 2, 'id': 'point_2', 'index': '2', 'break': '50%'},
{'x': 3, 'y': 4, 'z': 8, 'id': 'point_3', 'index': '3', 'break': '75%'},
{'x': 1, 'y': 1, 'z': 4, 'id': 'point_4', 'index': '4', 'break': '50%'},
{'x': 8, 'y': 2, 'z': 2, 'id': 'point_5', 'index': '5', 'break': '50%'},
{'x': 4, 'y': 0, 'z': 7, 'id': 'point_6', 'index': '6', 'break': '75%'},
{'x': 1, 'y': 9, 'z': 2, 'id': 'point_7', 'index': '7', 'break': '75%'},
{'x': 9, 'y': 9, 'z': 9, 'id': 'point_8', 'index': '8', 'break': '100%'},
{'x': 7, 'y': 1, 'z': 3, 'id': 'point_9', 'index': '9', 'break': '75%'},
{'x': 4, 'y': 2, 'z': 6, 'id': 'point_10', 'index': '10', 'break': '0%'},
{'x': 1, 'y': 3, 'z': 7, 'id': 'point_11', 'index': '11', 'break': '75%'},
{'x': 2, 'y': 8, 'z': 2, 'id': 'point_12', 'index': '12', 'break': '0%'},
{'x': 7, 'y': 1, 'z': 1, 'id': 'point_13', 'index': '13', 'break': '0%'},
{'x': 7, 'y': 9, 'z': 1, 'id': 'point_14', 'index': '14', 'break': '100%'},
{'x': 3, 'y': 4, 'z': 5, 'id': 'point_15', 'index': '15', 'break': '50%'},
{'x': 2, 'y': 1, 'z': 9, 'id': 'point_16', 'index': '16', 'break': '0%'},
{'x': 9, 'y': 1, 'z': 6, 'id': 'point_17', 'index': '17', 'break': '0%'},
{'x': 4, 'y': 1, 'z': 3, 'id': 'point_18', 'index': '18', 'break': '100%'},
{'x': 7, 'y': 4, 'z': 0, 'id': 'point_19', 'index': '19', 'break': '0%'},
